userId,movieId,rating,title,totalRatingCount
1,1,4.0,Toy Story (1995),215
5,1,4.0,Toy Story (1995),215
7,1,4.5,Toy Story (1995),215
15,1,2.5,Toy Story (1995),215
17,1,4.5,Toy Story (1995),215
18,1,3.5,Toy Story (1995),215
19,1,4.0,Toy Story (1995),215
21,1,3.5,Toy Story (1995),215
27,1,3.0,Toy Story (1995),215
31,1,5.0,Toy Story (1995),215
32,1,3.0,Toy Story (1995),215
33,1,3.0,Toy Story (1995),215
40,1,5.0,Toy Story (1995),215
43,1,5.0,Toy Story (1995),215
44,1,3.0,Toy Story (1995),215
45,1,4.0,Toy Story (1995),215
46,1,5.0,Toy Story (1995),215
50,1,3.0,Toy Story (1995),215
54,1,3.0,Toy Story (1995),215
57,1,5.0,Toy Story (1995),215
63,1,5.0,Toy Story (1995),215
64,1,4.0,Toy Story (1995),215
66,1,4.0,Toy Story (1995),215
68,1,2.5,Toy Story (1995),215
71,1,5.0,Toy Story (1995),215
73,1,4.5,Toy Story (1995),215
76,1,0.5,Toy Story (1995),215
78,1,4.0,Toy Story (1995),215
82,1,2.5,Toy Story (1995),215
86,1,4.0,Toy Story (1995),215
89,1,3.0,Toy Story (1995),215
90,1,3.0,Toy Story (1995),215
91,1,4.0,Toy Story (1995),215
93,1,3.0,Toy Story (1995),215
96,1,5.0,Toy Story (1995),215
98,1,4.5,Toy Story (1995),215
103,1,4.0,Toy Story (1995),215
107,1,4.0,Toy Story (1995),215
112,1,3.0,Toy Story (1995),215
119,1,3.5,Toy Story (1995),215
121,1,4.0,Toy Story (1995),215
124,1,4.0,Toy Story (1995),215
130,1,3.0,Toy Story (1995),215
132,1,2.0,Toy Story (1995),215
134,1,3.0,Toy Story (1995),215
135,1,4.0,Toy Story (1995),215
137,1,4.0,Toy Story (1995),215
140,1,3.0,Toy Story (1995),215
141,1,4.0,Toy Story (1995),215
144,1,3.5,Toy Story (1995),215
145,1,5.0,Toy Story (1995),215
151,1,5.0,Toy Story (1995),215
153,1,2.0,Toy Story (1995),215
155,1,3.0,Toy Story (1995),215
156,1,4.0,Toy Story (1995),215
159,1,4.5,Toy Story (1995),215
160,1,4.0,Toy Story (1995),215
161,1,4.0,Toy Story (1995),215
166,1,5.0,Toy Story (1995),215
167,1,3.5,Toy Story (1995),215
169,1,4.5,Toy Story (1995),215
171,1,5.0,Toy Story (1995),215
177,1,5.0,Toy Story (1995),215
178,1,4.0,Toy Story (1995),215
179,1,4.0,Toy Story (1995),215
182,1,4.0,Toy Story (1995),215
185,1,4.0,Toy Story (1995),215
186,1,4.0,Toy Story (1995),215
191,1,4.0,Toy Story (1995),215
193,1,2.0,Toy Story (1995),215
200,1,3.5,Toy Story (1995),215
201,1,5.0,Toy Story (1995),215
202,1,4.0,Toy Story (1995),215
206,1,5.0,Toy Story (1995),215
213,1,3.5,Toy Story (1995),215
214,1,3.0,Toy Story (1995),215
216,1,3.0,Toy Story (1995),215
217,1,4.0,Toy Story (1995),215
219,1,3.5,Toy Story (1995),215
220,1,5.0,Toy Story (1995),215
223,1,3.5,Toy Story (1995),215
226,1,3.5,Toy Story (1995),215
229,1,5.0,Toy Story (1995),215
232,1,3.5,Toy Story (1995),215
233,1,3.0,Toy Story (1995),215
234,1,5.0,Toy Story (1995),215
239,1,4.0,Toy Story (1995),215
240,1,5.0,Toy Story (1995),215
247,1,5.0,Toy Story (1995),215
249,1,4.0,Toy Story (1995),215
252,1,4.5,Toy Story (1995),215
254,1,4.5,Toy Story (1995),215
263,1,4.0,Toy Story (1995),215
264,1,4.0,Toy Story (1995),215
266,1,2.0,Toy Story (1995),215
269,1,5.0,Toy Story (1995),215
270,1,5.0,Toy Story (1995),215
273,1,5.0,Toy Story (1995),215
274,1,4.0,Toy Story (1995),215
275,1,5.0,Toy Story (1995),215
276,1,4.0,Toy Story (1995),215
277,1,4.0,Toy Story (1995),215
279,1,3.0,Toy Story (1995),215
280,1,4.5,Toy Story (1995),215
282,1,4.5,Toy Story (1995),215
283,1,3.0,Toy Story (1995),215
288,1,4.5,Toy Story (1995),215
290,1,4.0,Toy Story (1995),215
291,1,4.0,Toy Story (1995),215
292,1,4.0,Toy Story (1995),215
293,1,3.0,Toy Story (1995),215
298,1,2.0,Toy Story (1995),215
304,1,5.0,Toy Story (1995),215
307,1,4.0,Toy Story (1995),215
314,1,3.0,Toy Story (1995),215
322,1,3.5,Toy Story (1995),215
323,1,3.5,Toy Story (1995),215
328,1,5.0,Toy Story (1995),215
330,1,4.0,Toy Story (1995),215
332,1,4.0,Toy Story (1995),215
334,1,3.5,Toy Story (1995),215
336,1,4.0,Toy Story (1995),215
337,1,4.0,Toy Story (1995),215
339,1,4.0,Toy Story (1995),215
341,1,5.0,Toy Story (1995),215
347,1,5.0,Toy Story (1995),215
350,1,4.0,Toy Story (1995),215
353,1,5.0,Toy Story (1995),215
357,1,5.0,Toy Story (1995),215
359,1,4.0,Toy Story (1995),215
364,1,5.0,Toy Story (1995),215
367,1,5.0,Toy Story (1995),215
372,1,3.0,Toy Story (1995),215
373,1,3.0,Toy Story (1995),215
378,1,4.5,Toy Story (1995),215
380,1,5.0,Toy Story (1995),215
381,1,3.5,Toy Story (1995),215
382,1,4.5,Toy Story (1995),215
385,1,4.0,Toy Story (1995),215
389,1,5.0,Toy Story (1995),215
391,1,3.0,Toy Story (1995),215
396,1,5.0,Toy Story (1995),215
399,1,4.0,Toy Story (1995),215
401,1,3.5,Toy Story (1995),215
411,1,5.0,Toy Story (1995),215
412,1,2.0,Toy Story (1995),215
